product_code;active;name;price;vat;unit;category;barcode;producer;currency;other_price;pkwiu;weight;gauge;priority;short_description;description;price_wholesale;price_special;manual_historical_price;manual_historical_price_wholesale;manual_historical_price_special;price_buying;stock;stock_warnlevel;package;availability;delivery;views;"images 1";"images 2";"images 3";"images 4";rank;rank_votes;seo_title;seo_description;seo_keywords;seo_url;booster;producer_code;warehouse_code;length;width;height
D3525P;1;"H.   Wkręt st.D 3,5 x 25/P (1000) (zb.12)";27.22;23%;szt.;"ŚRUBY I WKRĘTY > D wkręt fosfatyzowany do drewna";5904259633499;Starfix;PLN;0.00;25.94.11.0;1.26;;0;"H.   Wkręt st.D 3,5 x 25/P (1000) (zb.12)";"Do łączenia płyt kartonowogipsowych z konstrukcją<br/>DREWNIANĄ.";27.22;27.22;;;;0.00;2148;;0;auto;;;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/23992.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/23993.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/23994.jpg;;0;0;;;;;;;;0.0000;0.0000;0.0000
D3535P;0;"H.   Wkręt st.D 3,5 x 35/P (1000) (zb.8)";37.56;23%;szt.;"ŚRUBY I WKRĘTY > D wkręt fosfatyzowany do drewna";5904259633505;Starfix;PLN;0.00;25.94.11.0;1.72;;0;"H.   Wkręt st.D 3,5 x 35/P (1000) (zb.8)";"Do łączenia płyt kartonowogipsowych z konstrukcją<br/>DREWNIANĄ.";37.56;37.56;;;;0.00;0;;0;auto;;;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/23995.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/23996.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/23997.jpg;;0;0;;;;;;;;0.0000;0.0000;0.0000
D3545P;1;"H.   Wkręt st.D 3,5 x 45/P ( 500) (zb.12)";22.64;23%;szt.;"ŚRUBY I WKRĘTY > D wkręt fosfatyzowany do drewna";5904259633512;Starfix;PLN;0.00;25.94.11.0;1.09;;0;"H.   Wkręt st.D 3,5 x 45/P ( 500) (zb.12)";"Do łączenia płyt kartonowogipsowych z konstrukcją<br/>DREWNIANĄ.";22.64;22.64;;;;0.00;672;;0;auto;;;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/23998.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/23999.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24000.jpg;;0;0;;;;;;;;0.0000;0.0000;0.0000
D3555P;0;"H.   Wkręt st.D 3,5 x 55/P ( 500) (zb.8)";30.18;23%;szt.;"ŚRUBY I WKRĘTY > D wkręt fosfatyzowany do drewna";5904259633529;Starfix;PLN;0.00;25.94.11.0;1.3;;0;"H.   Wkręt st.D 3,5 x 55/P ( 500) (zb.8)";"Do łączenia płyt kartonowogipsowych z konstrukcją<br/>DREWNIANĄ.";30.18;30.18;;;;0.00;0;;0;auto;;;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24001.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24002.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24003.jpg;;0;0;;;;;;;;0.0000;0.0000;0.0000
D4270P;1;"H.   Wkręt st.D 4,2 x 70/P ( 250) (zb.12)";26.45;23%;szt.;"ŚRUBY I WKRĘTY > D wkręt fosfatyzowany do drewna";5904259633536;Starfix;PLN;0.00;25.94.11.0;1.12;;0;"H.   Wkręt st.D 4,2 x 70/P ( 250) (zb.12)";"Do łączenia płyt kartonowogipsowych z konstrukcją<br/>DREWNIANĄ.";26.45;26.45;;;;0.00;2916;;0;auto;;;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24004.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24005.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24006.jpg;;0;0;;;;;;;;0.0000;0.0000;0.0000
M3525P;0;"H.   Wkręt st.M 3,5 x 25/P (1000) (zb.12)";27.22;23%;szt.;"ŚRUBY I WKRĘTY > M wkręt fosfatyzowany do metalu";5904259633406;Starfix;PLN;0.00;25.94.11.0;1.3;;0;"H.   Wkręt st.M 3,5 x 25/P (1000) (zb.12)";"Do łączenia płyt kartonowogipsowych z konstrukcją STALOWĄ.";27.22;27.22;;;;0.00;0;;0;auto;;;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24007.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24008.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24009.jpg;;0;0;;;;;;;;0.0000;0.0000;0.0000
M3535P;1;"H.   Wkręt st.M 3,5 x 35/P (1000) (zb.8)";37.56;23%;szt.;"ŚRUBY I WKRĘTY > M wkręt fosfatyzowany do metalu";5904259633413;Starfix;PLN;0.00;25.94.11.0;1.72;;0;"H.   Wkręt st.M 3,5 x 35/P (1000) (zb.8)";"Do łączenia płyt kartonowogipsowych z konstrukcją STALOWĄ.";37.56;37.56;;;;0.00;2777;;0;auto;;;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24010.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24011.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24012.jpg;;0;0;;;;;;;;0.0000;0.0000;0.0000
WSW3511CZF200;1;"DSF(F08) Wkręt WSW 3,5x11 CZ/F (200)zb.10";10.76;23%;szt.;"ŚRUBY I WKRĘTY > WSW wkręt samowiercący do blach";5904259637060;Starfix;PLN;0.00;25.94.11.0;0.17;;0;"DSF(F08) Wkręt WSW 3,5x11 CZ/F (200)zb.10";"Do łączenia cienkich blach, max przewiercalność do 1,5 mm grubości.";10.76;10.76;;;;0.00;254;;0;auto;;;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24013.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24014.png;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24015.jpg;https://sklep608573.shoparena.pl/console/image/resize/nowatermark/1/type/productGfx/image/24016.jpg;0;0;;;;;;;;0.0000;0.0000;0.0000
WSW3511OCF200;1;"DSF(F08) Wkręt WSW 3,5x11 OC/F (200) zb.10";10.76;23%;szt.;"ŚRUBY I WKRĘTY > WSW wkręt samowiercący do blach";5907418872562;Starfix;PLN;0.00;25.94.11.0;0.18;;0;"DSF(F08) Wkręt WSW 3,5x11 OC/F (200) zb.10";"Do łączenia cienkich blach, max przewiercalność do 1,5 mm grubości.";10.76;10.76;;;;0.00;1;;0;auto;;;;;;;0;0;;;;;;;;0.0000;0.0000;0.0000
WSW3595OCF200;0;"DSF(F08) Wkręt WSW 3,5 x9,5 OC/F (200) zb.10";6.80;23%;szt.;"ŚRUBY I WKRĘTY > WSW wkręt samowiercący do blach";5907418872579;Starfix;PLN;0.00;25.94.11.0;0.22;;0;"DSF(F08) Wkręt WSW 3,5 x9,5 OC/F (200) zb.10";"Do łączenia cienkich blach, max przewiercalność do 1,5 mm grubości.";6.80;6.80;;;;0.00;0;;0;auto;;;;;;;0;0;;;;;;;;0.0000;0.0000;0.0000
